latitude start,latitude end,longitude start,longitude end,time,source,min,max,hash
5.0625,10.0625,-49.9375,-44.9375,2020-10-17,des,1.8900000000000001,8.05,57793edfa8d218d926a0e681d1739aa9
5.0625,10.0625,-49.9375,-44.9375,2020-10-24,des,2.68,12.49,faf217af227d9bbc6bee3cfff99ebfb3
5.0625,10.0625,-49.9375,-44.9375,2020-11-05,des,3.7800000000000002,12.71,9c1c11cd74e0d14540ec4843f778f76b
5.0625,10.0625,-49.9375,-44.9375,2020-11-07,des,4.8500000000000005,8.71,c0c3cdeda212d2a40896815c12fe58ca
5.0625,10.0625,-49.9375,-44.9375,2020-11-12,des,4.91,12.11,bc41ab2cb094002fe5d52a351bc71552
5.0625,10.0625,-49.9375,-44.9375,2020-11-15,des,2.64,8.21,8339aa8b3bc16d5fc251c29410bb8e5e
5.0625,10.0625,-49.9375,-44.9375,2020-11-22,des,6.97,11.65,1876b99b71f66ad8113fd33c9503dc5b
5.0625,10.0625,-49.9375,-44.9375,2020-12-04,des,3.65,7.6000000000000005,1e67dfe8452b6931238b037255c2e25b
5.0625,10.0625,-49.9375,-44.9375,2020-12-06,des,0.9500000000000001,10.33,b05cb54d448cc25c17eb66e3aa3303e9
5.0625,10.0625,-49.9375,-44.9375,2020-12-11,des,4.76,11.31,d587ed734fa5aa6868502c21bff4bf3f
5.0625,10.0625,-49.9375,-44.9375,2020-12-14,des,5.07,10.26,e25f1944eef01176cdf7171aa5a1d7d7
5.0625,10.0625,-49.9375,-44.9375,2020-12-21,des,4.9,13.13,2c055bb42ebd475bc71fd3e89b94b371
10.0625,15.0625,-59.9375,-54.9375,2020-01-09,des,8.1,12.15,1ae6e260ddbf1c047b3351bae80b7162
10.0625,15.0625,-59.9375,-54.9375,2020-02-07,des,8.84,12.81,caca4ba5510dafa9b13dc5e6416a9623
10.0625,15.0625,-59.9375,-54.9375,2020-03-07,des,7.04,9.65,f2574431e642eb1ca0b6a50e95fde9db
10.0625,15.0625,-59.9375,-54.9375,2020-04-05,des,2.61,8.14,2839a4655b5c2b1578cee0a11a189526
10.0625,15.0625,-59.9375,-54.9375,2020-05-04,des,7.34,11.4,43f7f1c275c44e0ca2d5acfcb6cdf65e
10.0625,15.0625,-59.9375,-54.9375,2020-06-02,des,4.23,8.61,e508eed0f0fedcc4e87c08aa1f7aeaa6
10.0625,15.0625,-59.9375,-54.9375,2020-07-01,des,3.23,8.94,469b184c199c8096b14fb02936c7dd18
10.0625,15.0625,-59.9375,-54.9375,2020-07-30,des,4.2,9.66,28b5e6062000aa24337ddd513d48b15f
10.0625,15.0625,-59.9375,-54.9375,2020-08-28,des,7.5200000000000005,10.13,5fc36cff6c3bea6479b638b3da79d396
10.0625,15.0625,-59.9375,-54.9375,2020-09-26,des,5.32,8.1,cb8a397a3c83a583a57c70e1a3d11756
10.0625,15.0625,-59.9375,-54.9375,2020-10-25,des,3.97,12.620000000000001,c53fb37c64794a8b3c94654e82ce7868
10.0625,15.0625,-59.9375,-54.9375,2020-11-23,des,7.640000000000001,10.06,e525a3be717c9258f8800f74a15fb10e
10.0625,15.0625,-59.9375,-54.9375,2020-12-22,des,4.8500000000000005,10.78,879497c7c84169f0614fa93691b3839c
10.0625,15.0625,-54.9375,-49.9375,2020-01-07,des,4.19,7.51,70910ff2d0b53fc2c8313f8ac3d4c5db
10.0625,15.0625,-54.9375,-49.9375,2020-01-10,des,9.09,13.38,3ee5d0f637d80b7838fb9363577bcf7e
10.0625,15.0625,-54.9375,-49.9375,2020-01-17,des,7.3500000000000005,10.33,b65907385c2d0a756f8c7df302f48159
10.0625,15.0625,-54.9375,-49.9375,2020-01-24,des,4.43,8.21,78898c70bcb2ae6391e5bbf3820710ff
10.0625,15.0625,-54.9375,-49.9375,2020-02-05,des,6.8100000000000005,9.3,cd5f249a4e78960c8e4c8c78254594c5
10.0625,15.0625,-54.9375,-49.9375,2020-02-08,des,8.82,13.26,3b7a5f7ee65d3dcbc90089c98a7e9aa9
10.0625,15.0625,-54.9375,-49.9375,2020-02-15,des,7.640000000000001,12.9,ee21be17570b70278b8e5c9ffc79365f
10.0625,15.0625,-54.9375,-49.9375,2020-03-05,des,6.17,10.96,1c62917933e0019b31c87fa4acf57800
10.0625,15.0625,-54.9375,-49.9375,2020-03-08,des,6.3,8.98,09aeb07ea7171500288b305310b9e14d
10.0625,15.0625,-54.9375,-49.9375,2020-03-15,des,4.84,8.33,7ebd8899d178028298aa9ad7222db421
10.0625,15.0625,-54.9375,-49.9375,2020-04-03,des,4.99,7.1000000000000005,679fc91e425def1070d6e3e41503000b
10.0625,15.0625,-54.9375,-49.9375,2020-04-06,des,4.4,8.88,935420e99499958fd20467698532f3b2
10.0625,15.0625,-54.9375,-49.9375,2020-04-13,des,5.67,8.35,9f85e908678e7122e9edb3de52455433
10.0625,15.0625,-54.9375,-49.9375,2020-05-02,des,7.99,11.24,2051b6ba7d2d1b643713cd71986023fd
10.0625,15.0625,-54.9375,-49.9375,2020-05-05,des,7.930000000000001,10.83,51f5d58d5f5f02585902f139523c5eab
10.0625,15.0625,-54.9375,-49.9375,2020-05-12,des,8.290000000000001,11.98,8dc7523b0ccaf05cb87e8e02f272d544
10.0625,15.0625,-54.9375,-49.9375,2020-05-31,des,7.1000000000000005,10.23,bb12f097432e6a94d3acc8f87c45ea5d
10.0625,15.0625,-54.9375,-49.9375,2020-06-03,des,4.04,8.9,139c1e4ad7a238346852b39f484e89f3
10.0625,15.0625,-54.9375,-49.9375,2020-06-10,des,3.59,8.24,0c88c24c2e476fb1100b6fe790830c7a
